Feature_id	Mean_decrease_in_accuracy	Standard_deviation
217996	0.00296958844811125	0.000524790292426303
189827	0.00108761590409757	0.000260688962604105
72820	0.000939432421476034	0.000327628852080169
326792	0.000876386089501202	0.0001636551093214
561483	0.000699207172331028	0.000274434768852963
194745	0.000673708487157192	0.000238278030937135
191687	0.000474161775921791	0.000187519348239901
533785	0.00044043863293795	0.000145345588996982
364234	0.000438910632398898	0.000169227602102645
470663	0.000433078836992995	0.000194656115890965
261912	0.000430763906692997	0.00014606800169685
210269	0.000372671518296576	0.00030888607268933
13823	0.000325516924581546	0.000159681067863927
561636	0.000239246569056869	0.000183924981019766
303304	0.000211905848036226	0.000144576342056604
195574	0.000188867153493726	9.96816997087578e-05
181834	0.000182296898266623	9.76087037287371e-05
185951	0.000177494026696211	0.000110735326853473
554755	0.000171284655134066	0.00026304830197263
469873	0.000161429715374948	0.000218806285727924
48207	0.000150435022527355	7.61170495968366e-05
9514	0.000147406210957305	0.000112701896065573
287510	0.000145640367383529	7.18602781839766e-05
162427	0.000129217822669818	9.23168595878631e-05
295024	0.00011313401157501	5.9610124836284e-05
579564	0.000112348250245503	9.82997762028221e-05
292424	0.000111514008172229	0.000146332049712505
302844	0.00010756007185958	6.95284516358269e-05
212619	0.000105322540006759	7.288897544106e-05
309068	9.98695532618182e-05	0.0001067861836647
517331	9.81555292030938e-05	4.63617191300117e-05
145149	8.86567340318742e-05	6.227479405076e-05
178122	8.28339038046405e-05	5.44483899099264e-05
352379	7.24557205939894e-05	6.63361891673222e-05
New.0.ReferenceOTU576	6.83238568694283e-05	0.000112183601460057
326977	6.5022259851868e-05	0.000228621681981548
469868	6.29797776962116e-05	4.51090583383991e-05
130663	6.24764313339651e-05	6.43609829425668e-05
268604	5.8492747918778e-05	8.70035657407265e-05
15141	5.70906138831198e-05	9.2340091104183e-05
563485	4.86038942278246e-05	6.06063078992564e-05
186029	4.56508440881331e-05	0.000167570639072423
259261	4.06597608918196e-05	8.63464086759619e-05
540230	3.97325172100179e-05	0.000117671957596911
312461	3.9266364904272e-05	6.30663047713616e-05
545371	3.83943908690819e-05	4.88487424614769e-05
469852	3.56922363382526e-05	0.000170115736068844
178146	3.26285565178458e-05	2.89787395076168e-05
209122	2.85521330710699e-05	3.36595263461085e-05
365758	2.84127423855425e-05	5.07056576015621e-05
175682	2.7119737732233e-05	7.53490513518981e-05
259422	2.6225883363186e-05	6.75577306124963e-05
307981	2.28742576946102e-05	6.92138361632987e-05
325608	2.18082706279245e-05	7.18467659989995e-05
248563	2.17863999991051e-05	3.03759792944756e-05
352304	2.17756995261464e-05	2.74166280070526e-05
15382	2.15625416999698e-05	0.000144492211888419
99826	2.00411064508131e-05	6.06924042745168e-05
179287	1.79525052226814e-05	3.03592656656621e-05
148099	1.68635614364869e-05	6.67674278293188e-05
274208	1.65044015374488e-05	5.84303608001159e-05
323257	1.5319112887473e-05	9.00593989479283e-05
139221	1.14274156139e-05	5.35401736539986e-05
170124	9.2247049780404e-06	3.20304642835583e-05
